1,18/19
2,221
3,-127/8
4,228
5,19/22
6,4
7,19
8,10
9,19
10,4/5
11,7'3/13
12,5/2816
13,6/119
14,44
15,5/282
16,0
17,11'7/95
18,0
19,35
20,14
21,58
22,23
23,7
24,2
25,24
26,35
27,13'4/15
28,48
29,35
30,210
31,13
32,0
33,104
34,1'5/7
35,5'79/84
36,127
37,5'7/12
38,12/263
39,19
40,16
41,339
42,20
43,2
44,16'1/5
45,18/247
46,20'13/16
47,1/19
48,38
49,7'8/9
50,240
51,1'5/9
52,343
53,57
54,19
55,111'1/2
56,5
57,21
58,70
59,0
60,8
61,5/8
62,-7/8
63,620
64,4
65,0
66,1/16
67,4
68,1/5
69,342
70,220
71,19
72,1'7/11
73,3
74,4/19
75,8
76,6/13
77,-2/15
78,18/25
79,4/5
80,0'17/-67
81,2'92/95
82,52'4/15
83,13
84,11/14
85,28
86,1/14
87,15'2/3
88,5'7/17
89,38
90,24
91,261'17/19
92,9
93,7'1/2
94,2
95,14'11/14
96,1/3
97,7/304
98,12'237/238
99,10'5/6
100,22'1/16
101,2
102,229
103,0
104,3/11
105,9/896
106,545
107,5'7/90
108,11
109,4/21
110,48
111,374
112,2
113,0
114,13
115,215
116,287
117,7/2890
118,3
119,7
120,96
121,4'1/2
122,7'2/9
123,27
124,15
125,495
126,12
127,-21/8
128,1/32
129,4'7/17
130,31
131,12'18/23
132,1/140
133,17
134,1'2/17
135,0
136,59'1/2
137,201
138,1/17
139,4'6/7
140,68
141,20
142,90
143,2/3
144,36
145,1'1/16
146,46'3/8
147,44
148,17'1/12
149,-17/20
150,28
151,1
152,96/203
153,5/17
154,160
155,323
156,48
157,18
158,-7/116
159,29
160,10'4/7
161,8
162,5/11
163,2
164,8'19/20
165,1/35
166,1
167,4'1/2
168,0'10/-19
169,351
170,4/5
171,272
172,6/7
173,3'11/18
174,12'1/6
175,19
176,4
177,73
178,6
179,-1983/154
180,2
181,34
182,0
183,85
184,11/27
185,13
186,46
187,15
188,15
189,17'9/19
190,345'4/5
191,4
192,13
193,186
194,23'11/13
195,10
196,0
197,7/208
198,321
199,68
200,6
201,15'2/45
202,7/15
203,6
204,0'1/-36
205,10'19/162
206,1'1/16
207,0'7/-9
208,31
209,8'1/16
210,176
211,8
212,30
213,2
214,12
215,7
216,12'2/17
217,0
218,306
219,1/18
220,3/5
221,1'9/10
222,7
223,2'1/8
224,2'2/3
225,6
226,1'1/5
227,9
228,1/1296
229,5/14
230,18
231,108
232,1
233,9'1/2
234,8'3/16
235,7
236,100
237,7
238,17
239,9'7/20
240,16
241,17
242,30/119
243,-31/4
244,304
245,18
246,5/9
247,120
248,36
249,832
250,0
251,24'1/2
252,8
253,17
254,9
255,2'5/14
256,2'11/16
257,0
258,1'1/3
259,47
260,3'3/5
261,172
262,21'9/11
263,11'2/3
264,9
265,12'1/2
266,6'1/2
267,72'6/7
268,152
269,110
270,1/4
271,36
272,1'2/15
273,30
274,0
275,32
276,15/17
277,1'1/5
278,7'3/19
279,18
280,0
281,48
282,18
283,1/4
284,36
285,48
286,60
287,16
288,2'21/170
289,20
290,42/67
291,408
292,36
293,12'16/33
294,247
295,22
296,22
297,1/13
298,9
299,18
300,11'1/4
301,0
302,4
303,225
304,79
305,17'4/19
306,7'5/9
307,0
308,3
309,190
310,1/238
311,1'2/9
312,173
313,4
314,0
315,235
316,224
317,2
318,25
319,37
320,0
321,15
322,4/247
323,22
324,1/8
325,1'1/2
326,7/8
327,9
328,-71/4
329,3/16
330,33
331,3/19
332,13
333,78
334,1'4/13
335,16
336,4
337,-14/3
338,21
339,-179/18
340,13'1/8
341,15
342,172
343,-167/6
344,9'1/10
345,1'7/10
346,98
347,24
348,26
349,7/300
350,5
351,21'3/11
352,12
353,6'3/7
354,2'3/10
355,-101/6
356,1'6/7
357,21
358,14
359,9'4/5
360,13/307
361,-11/4
362,22
363,138
364,4'1/4
365,21
366,1'101/126
367,12
368,136
369,59
370,240
371,16
372,3/16
373,4/5
374,3'2/11
375,144
376,4/1755
377,209
378,42'2/3
379,10'2/3
380,20
381,7/704
382,209
383,3
384,323
385,0
386,18
387,11
388,15'1/20
389,10
390,19
391,200
392,96
393,169
394,46
395,15
396,0'39/-95
397,3
398,91
399,129
400,16/119
401,28
402,86
403,6
404,16
405,16'3/5
406,15
407,9'2/3
408,19
409,204'12/13
410,4
411,33
412,19
413,19
414,70
415,2'7/10
416,2'89/126
417,22'5/7
418,4
419,12
420,111/152
421,19'2/7
422,2
423,13/18
424,3
425,56
426,7'1/2
427,16'2/3
428,100
429,9'5/7
430,19
431,1/6
432,19'2/3
433,30
434,24
435,14
436,22
437,19'1/2
438,86
439,-187/12
440,14
441,80
442,3
443,0
444,1/16
445,14
446,19
447,16/99
448,14'89/98
449,223
450,1/6
451,22
452,23'1/3
453,8'1/3
454,324
455,0
456,50
457,5/12
458,5/14
459,0'1/-5
460,37
461,4
462,76
463,85
464,12
465,48
466,-43/4
467,1'4/5
468,64
469,23'1/9
470,17'5/6
471,-38/7
472,78
473,203
474,230
475,132
476,162
477,0
478,1'2/7
479,92
480,1'10/19
481,8
482,2'9/19
483,75
484,2/9
485,17/18
486,0
487,210'1/5
488,20
489,8
490,28
491,12
492,57
493,37
494,90
495,14'1/7
496,619
497,22
498,1/2
499,10'2/7
500,16'2/5
501,17'1/4
502,252
503,1/500000
504,-76/9
505,187
506,113'1/5
507,2
508,1
509,260
510,1/5
511,145
512,119
513,1
514,0
515,11
